loc,med,edu,saf
전라남도 신안군,7.65,7.07,28.28
전라남도 여수시,46.99,50.0,48.19
전라남도 영광군,21.31,9.09,29.54
전라남도 영암군,0.0,21.21,46.21
전라남도 완도군,20.22,15.66,20.7
전라남도 장성군,3.83,8.59,37.12
전라남도 장흥군,73.22,9.6,49.5
전라남도 진도군,13.11,5.05,39.4
전라남도 함평군,10.38,5.05,33.08
전라남도 해남군,24.04,17.68,36.87
전라남도 화순군,66.67,26.26,64.9
전라북도 고창군,15.3,18.69,25.5
전라북도 군산시,72.68,60.61,20.58
전라북도 김제시,50.82,36.36,57.12
전라북도 남원시,30.05,34.34,62.86
전라북도 무주군,20.77,3.03,49.24
전라북도 부안군,40.44,17.68,55.3
전라북도 순창군,59.02,11.11,24.24
전라북도 완주군,85.79,38.38,55.84
전라북도 익산시,57.38,66.16,29.76
전라북도 임실군,19.67,6.06,35.86
전라북도 장수군,24.59,2.53,31.06
전라북도 전주시,74.32,79.8,33.74
전라북도 정읍시,25.68,39.9,70.89
전라북도 진안군,18.03,4.04,35.35
제주특별자치도 서귀포시,33.88,51.01,64.16
제주특별자치도 제주시,91.26,76.26,58.92
충청남도 계룡시,28.96,23.23,39.47
충청남도 공주시,27.32,33.84,58.98
충청남도 금산군,1.64,20.2,30.46
충청남도 논산시,32.24,38.89,60.64
충청남도 당진시,39.34,50.51,44.53
충청남도 보령시,19.13,33.33,48.54
충청남도 부여군,9.84,20.71,72.34
충청남도 서산시,43.72,44.44,75.19
충청남도 서천군,2.73,19.19,45.96
충청남도 아산시,49.73,70.71,42.85
충청남도 예산군,0.55,22.22,51.97
충청남도 천안시,56.28,78.79,37.52
충청남도 청양군,11.48,10.61,70.02
충청남도 홍성군,29.51,27.27,41.24
충청북도 괴산군,0.0,7.07,50.0
충청북도 단양군,0.0,7.58,52.97
충청북도 보은군,9.29,5.56,64.92
충청북도 영동군,3.28,8.59,75.6
충청북도 옥천군,16.94,16.67,68.7
충청북도 음성군,22.4,29.8,53.19
충청북도 제천시,42.08,33.84,36.83
충청북도 진천군,46.45,23.74,58.52
충청북도 청주시,57.92,81.31,42.28
충청북도 충주시,38.8,46.46,44.14
